,DISPLAY_FIRST_LAST,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP_y,DRAFT_NUMBER_y,GP,MIN,PTS,REB,AST,STL,BLK,SALARY
395,Terrence Ross,Magic,Guard-Forward,6-6,206,USA,1991-02-05T00:00:00,10,8,46.0,1347.0,717.0,158.0,108.0,47.0,21.0,12500000.0
396,Terry Rozier,Hornets,Guard,6-1,190,USA,1994-03-17T00:00:00,7,16,69.0,2383.0,1407.0,302.0,293.0,87.0,26.0,17905263.0
397,Ricky Rubio,Cavaliers,Guard,6-2,190,Spain,1990-10-21T00:00:00,11,5,,,,,,,,17809524.0
398,D'Angelo Russell,Timberwolves,Guard,6-4,193,USA,1996-02-23T00:00:00,7,2,42.0,1196.0,796.0,111.0,244.0,45.0,18.0,30013500.0
399,Matt Ryan,Celtics,Forward,6-7,215,USA,1997-04-17T00:00:00,1,Undrafted,,,,,,,,
400,Domantas Sabonis,Kings,Forward-Center,6-11,240,Lithuania,1996-05-03T00:00:00,6,11,,,,,,,,18562500.0
401,Dario Saric,Suns,Forward-Center,6-10,225,Croatia,1994-04-08T00:00:00,5,12,50.0,871.0,437.0,190.0,65.0,30.0,4.0,9000000.0
402,Tomas Satoransky,Wizards,Guard,6-7,210,Czech Republic,1991-10-30T00:00:00,7,32,,,,,,,,10468119.0
403,Jordan Schakel,Wizards,Guard,6-6,200,USA,1998-06-13T00:00:00,1,Undrafted,,,,,,,,
404,Admiral Schofield,Magic,Forward,6-5,241,United Kingdom,1997-03-30T00:00:00,2,42,,,,,,,,
405,Dennis Schroder,Rockets,Guard,6-1,172,Germany,1993-09-15T00:00:00,9,17,,,,,,,,5890000.0
406,Jay Scrubb,Clippers,Guard,6-5,220,USA,2000-09-01T00:00:00,3,55,4.0,84.0,35.0,14.0,1.0,4.0,0.0,
407,Alperen Sengun,Rockets,Center,6-10,243,Turkey,2002-07-25T00:00:00,1,16,,,,,,,,3214680.0
408,Collin Sexton,Jazz,Guard,6-1,190,USA,1999-01-04T00:00:00,4,8,,,,,,,,6349671.0
409,Landry Shamet,Suns,Guard,6-4,190,USA,1997-03-13T00:00:00,4,26,,,,,,,,3768342.0
410,Day'Ron Sharpe,Nets,Center,6-9,265,USA,2001-11-06T00:00:00,1,29,,,,,,,,2009040.0
411,Pascal Siakam,Raptors,Forward,6-8,230,Cameroon,1994-04-02T00:00:00,6,27,56.0,2006.0,1196.0,405.0,250.0,64.0,37.0,31320000.0
412,Ben Simmons,Nets,Guard-Forward,6-11,240,Australia,1996-07-20T00:00:00,4,1,,,,,,,,31590000.0
413,Marko Simonovic,Bulls,Center,6-11,220,Montenegro,1999-10-15T00:00:00,1,44,,,,,,,,925258.0
414,Anfernee Simons,Trail Blazers,Guard,6-3,181,USA,1999-06-08T00:00:00,4,24,64.0,1104.0,502.0,140.0,89.0,18.0,8.0,3938818.0
415,Jericho Sims,Knicks,Center,6-9,250,USA,1998-10-20T00:00:00,1,58,,,,,,,,
416,Javonte Smart,Heat,Guard,6-4,205,USA,1999-06-03T00:00:00,2,Undrafted,,,,,,,,
417,Marcus Smart,Celtics,Guard,6-4,220,USA,1994-03-06T00:00:00,8,6,48.0,1581.0,627.0,167.0,273.0,72.0,23.0,14339285.0
418,Ish Smith,Nuggets,Guard,6-0,175,USA,1988-07-05T00:00:00,12,Undrafted,,,,,,,,4500000.0
419,Jalen Smith,Pacers,Forward-Center,6-10,215,USA,2000-03-16T00:00:00,2,10,,,,,,,,4458000.0
420,Xavier Sneed,Jazz,Forward,6-5,215,USA,1997-12-21T00:00:00,1,Undrafted,,,,,,,,1563518.0
421,Tony Snell,Pelicans,Guard,6-6,213,USA,1991-11-10T00:00:00,9,20,,,,,,,,2389641.0
422,Jaden Springer,76ers,Guard,6-4,202,USA,2002-09-25T00:00:00,1,28,,,,,,,,2023800.0
423,Nik Stauskas,Celtics,Guard,6-6,207,Canada,1993-10-07T00:00:00,7,8,,,,,,,,
424,Lance Stephenson,Pacers,Forward,6-5,210,USA,1990-09-05T00:00:00,11,40,,,,,,,,924730.0
425,Lamar Stevens,Cavaliers,Forward,6-6,230,USA,1997-07-09T00:00:00,2,Undrafted,40.0,499.0,165.0,96.0,25.0,17.0,13.0,1517981.0
426,Isaiah Stewart,Pistons,Forward-Center,6-8,250,USA,2001-05-22T00:00:00,2,16,68.0,1455.0,537.0,453.0,59.0,39.0,86.0,3277080.0
427,Max Strus,Heat,Guard-Forward,6-5,215,USA,1996-03-28T00:00:00,3,Undrafted,39.0,507.0,236.0,41.0,24.0,11.0,2.0,1669178.0
428,Jalen Suggs,Magic,Guard,6-5,205,USA,2001-06-03T00:00:00,1,5,,,,,,,,6593040.0
429,Jae'Sean Tate,Rockets,Forward,6-4,230,USA,1995-10-28T00:00:00,2,Undrafted,70.0,2043.0,794.0,374.0,178.0,85.0,36.0,1517981.0
430,Jayson Tatum,Celtics,Forward-Guard,6-8,210,USA,1998-03-03T00:00:00,5,3,64.0,2290.0,1692.0,472.0,276.0,75.0,31.0,28103550.0
431,Terry Taylor,Pacers,Forward,6-5,230,USA,1999-09-23T00:00:00,1,Undrafted,,,,,,,,
432,Garrett Temple,Pelicans,Guard-Forward,6-5,195,USA,1986-05-08T00:00:00,12,Undrafted,,,,,,,,4910000.0
433,Tyrell Terry,Grizzlies,Guard,6-2,160,USA,2000-09-28T00:00:00,3,31,,,,,,,,1517981.0
434,Daniel Theis,Pacers,Forward-Center,6-9,245,Germany,1992-04-04T00:00:00,5,Undrafted,,,,,,,,8372093.0
435,Brodric Thomas,Celtics,Guard,6-5,185,USA,1997-01-28T00:00:00,2,Undrafted,,,,,,,,
436,Cam Thomas,Nets,Guard,6-3,210,Japan,2001-10-13T00:00:00,1,27,,,,,,,,2036280.0
437,Isaiah Thomas,Hornets,Guard,5-9,185,USA,1989-02-07T00:00:00,11,60,,,,,,,,
438,Matt Thomas,Bulls,Guard,6-3,190,USA,1994-08-04T00:00:00,3,Undrafted,,,,,,,,1669178.0
439,Klay Thompson,Warriors,Guard,6-6,220,USA,1990-02-08T00:00:00,9,11,,,,,,,,37980720.0
440,Tristan Thompson,Bulls,Center-Forward,6-9,254,Canada,1991-03-13T00:00:00,11,4,,,,,,,,9720900.0
441,JT Thor,Hornets,Forward,6-9,203,USA,2002-08-26T00:00:00,1,37,,,,,,,,1250000.0
442,Matisse Thybulle,76ers,Guard-Forward,6-5,201,USA,1997-03-04T00:00:00,3,20,65.0,1298.0,255.0,124.0,63.0,105.0,71.0,2840160.0
443,Killian Tillie,Grizzlies,Forward-Center,6-9,220,France,1998-03-05T00:00:00,2,Undrafted,18.0,182.0,57.0,24.0,8.0,5.0,8.0,2000000.0
444,Xavier Tillman Sr.,Grizzlies,Forward,6-8,245,USA,1999-01-12T00:00:00,2,35,59.0,1085.0,390.0,256.0,75.0,44.0,33.0,1517981.0
445,Isaiah Todd,Wizards,Forward,6-9,219,USA,2001-10-17T00:00:00,1,31,,,,,,,,1500000.0
446,Obi Toppin,Knicks,Forward,6-9,220,USA,1998-03-04T00:00:00,2,8,62.0,683.0,253.0,138.0,29.0,17.0,15.0,5105160.0
447,Juan Toscano-Anderson,Lakers,Forward,6-6,209,USA,1993-04-10T00:00:00,3,Undrafted,,,,,,,,1701593.0
448,Karl-Anthony Towns,Timberwolves,Center-Forward,6-11,248,USA,1995-11-15T00:00:00,7,1,50.0,1689.0,1239.0,529.0,225.0,39.0,57.0,31610000.0
449,Gary Trent Jr.,Raptors,Guard-Forward,6-5,209,USA,1999-01-18T00:00:00,4,37,17.0,540.0,275.0,61.0,22.0,19.0,4.0,16000000.0
450,P.J. Tucker,76ers,Forward,6-5,245,USA,1985-05-05T00:00:00,11,35,,,,,,,,7000000.0
451,Rayjon Tucker,Bucks,Guard,6-3,209,USA,1997-09-24T00:00:00,4,Undrafted,,,,,,,,
452,Myles Turner,Pacers,Center-Forward,6-11,250,USA,1996-03-24T00:00:00,7,11,47.0,1455.0,592.0,306.0,48.0,40.0,159.0,18000000.0
453,Jonas Valanciunas,Pelicans,Center,6-11,265,Lithuania,1992-05-06T00:00:00,10,5,,,,,,,,14000000.0
454,Fred VanVleet,Raptors,Guard,6-1,197,USA,1994-02-25T00:00:00,6,Undrafted,52.0,1899.0,1019.0,220.0,328.0,87.0,37.0,19675926.0
455,Jarred Vanderbilt,Jazz,Forward,6-9,214,USA,1999-04-03T00:00:00,4,41,,,,,,,,4259259.0
456,Devin Vassell,Spurs,Guard-Forward,6-5,200,USA,2000-08-23T00:00:00,2,11,62.0,1056.0,341.0,174.0,56.0,43.0,18.0,4235160.0
457,Gabe Vincent,Heat,Guard,6-3,200,USA,1996-06-14T00:00:00,3,Undrafted,50.0,655.0,242.0,56.0,67.0,21.0,2.0,1669178.0
458,Nikola Vucevic,Bulls,Center,6-10,260,Montenegro,1990-10-24T00:00:00,11,16,26.0,848.0,559.0,300.0,102.0,23.0,20.0,24000000.0
459,Dean Wade,Cavaliers,Forward-Center,6-9,228,USA,1996-11-20T00:00:00,3,Undrafted,63.0,1212.0,376.0,215.0,74.0,35.0,21.0,1782621.0
460,Franz Wagner,Magic,Forward,6-10,220,Germany,2001-08-27T00:00:00,1,8,,,,,,,,5007840.0
461,Moritz Wagner,Magic,Forward-Center,6-11,245,Germany,1997-04-26T00:00:00,4,25,11.0,286.0,121.0,54.0,12.0,4.0,9.0,1729217.0
462,Ish Wainright,Suns,Forward,6-5,250,USA,1994-09-12T00:00:00,1,Undrafted,,,,,,,,
463,Kemba Walker,Pistons,Guard,6-0,184,USA,1990-05-08T00:00:00,11,9,,,,,,,,8729020.0
464,Lonnie Walker IV,Lakers,Guard-Forward,6-4,204,USA,1998-12-14T00:00:00,4,18,,,,,,,,4447896.0
465,John Wall,Clippers,Guard,6-3,210,USA,1990-09-06T00:00:00,10,1,,,,,,,,44310840.0
466,T.J. Warren,Nets,Forward,6-8,220,USA,1993-09-05T00:00:00,7,14,,,,,,,,12690000.0
467,P.J. Washington,Hornets,Forward,6-7,230,USA,1998-08-23T00:00:00,3,12,64.0,1954.0,824.0,418.0,161.0,69.0,79.0,4215120.0
468,Duane Washington Jr.,Suns,Guard,6-3,197,Germany,2000-03-24T00:00:00,1,Undrafted,,,,,,,,
469,Yuta Watanabe,Nets,Guard-Forward,6-9,215,Japan,1994-10-13T00:00:00,4,Undrafted,,,,,,,,1762769.0
470,Lindy Waters III,Thunder,Forward,6-6,215,USA,1997-07-28T00:00:00,1,Undrafted,,,,,,,,
471,Trendon Watford,Trail Blazers,Forward,6-8,237,USA,2000-11-09T00:00:00,1,Undrafted,,,,,,,,260561.0
472,Quinndary Weatherspoon,Warriors,Guard,6-3,205,USA,1996-09-10T00:00:00,3,49,,,,,,,,
473,Russell Westbrook,Lakers,Guard,6-3,200,USA,1988-11-12T00:00:00,14,4,,,,,,,,44211146.0
474,Coby White,Bulls,Guard,6-4,195,USA,2000-02-16T00:00:00,3,7,69.0,2156.0,1041.0,284.0,328.0,38.0,15.0,5837760.0
475,Derrick White,Celtics,Guard,6-4,190,USA,1994-07-02T00:00:00,5,29,,,,,,,,15178571.0
476,Hassan Whiteside,Jazz,Center,7-0,265,USA,1989-06-13T00:00:00,10,33,,,,,,,,2401537.0
477,Joe Wieskamp,Spurs,Guard-Forward,6-6,205,USA,1999-08-23T00:00:00,1,41,,,,,,,,
478,Aaron Wiggins,Thunder,Guard,6-4,190,USA,1999-01-02T00:00:00,1,55,,,,,,,,1000000.0
479,Andrew Wiggins,Warriors,Forward,6-7,197,Canada,1995-02-23T00:00:00,8,1,71.0,2364.0,1320.0,347.0,167.0,67.0,70.0,31579390.0
480,Lindell Wigginton,Bucks,Guard,6-1,189,Canada,1998-03-28T00:00:00,1,,,,,,,,,
481,Brandon Williams,Trail Blazers,Guard,6-2,190,USA,1999-11-22T00:00:00,1,Undrafted,,,,,,,,
482,Grant Williams,Celtics,Forward,6-6,236,USA,1998-11-30T00:00:00,3,22,63.0,1138.0,294.0,178.0,64.0,32.0,24.0,2617800.0
483,Kenrich Williams,Thunder,Guard-Forward,6-6,210,USA,1994-12-02T00:00:00,4,Undrafted,66.0,1426.0,526.0,273.0,152.0,55.0,17.0,2000000.0
484,Lou Williams,Hawks,Guard,6-2,175,USA,1986-10-27T00:00:00,17,45,24.0,505.0,239.0,50.0,81.0,8.0,2.0,5000000.0
485,Patrick Williams,Bulls,Forward,6-7,215,USA,2001-08-26T00:00:00,2,4,71.0,1983.0,655.0,327.0,99.0,64.0,46.0,7422000.0
486,Ziaire Williams,Grizzlies,Forward,6-9,185,USA,2001-09-12T00:00:00,1,10,,,,,,,,4373160.0
487,Robert Williams III,Celtics,Center-Forward,6-9,237,USA,1997-10-17T00:00:00,4,27,52.0,985.0,417.0,358.0,94.0,43.0,91.0,3661976.0
488,Zion Williamson,Pelicans,Forward,6-6,284,USA,2000-07-06T00:00:00,2,1,61.0,2026.0,1647.0,441.0,226.0,57.0,39.0,10733400.0
489,Dylan Windler,Cavaliers,Guard-Forward,6-6,196,USA,1996-09-22T00:00:00,2,26,31.0,513.0,161.0,107.0,33.0,19.0,12.0,2239200.0
490,Justise Winslow,Trail Blazers,Forward-Guard,6-6,222,USA,1996-03-26T00:00:00,7,10,,,,,,,,3902439.0
491,Cassius Winston,Wizards,Guard,6-1,185,USA,1998-02-28T00:00:00,3,53,22.0,98.0,41.0,9.0,12.0,2.0,1.0,
492,James Wiseman,Warriors,Center,7-0,240,USA,2001-03-31T00:00:00,1,2,39.0,836.0,448.0,226.0,26.0,11.0,36.0,9166800.0
493,Christian Wood,Mavericks,Forward,6-9,214,USA,1995-09-27T00:00:00,6,Undrafted,,,,,,,,13666667.0
494,Robert Woodard II,Spurs,Forward,6-6,235,USA,1999-09-22T00:00:00,2,40,,,,,,,,1517981.0
495,Delon Wright,Wizards,Guard,6-5,185,USA,1992-04-26T00:00:00,7,20,,,,,,,,8526316.0
496,Moses Wright,Mavericks,Forward,6-8,226,USA,1998-12-23T00:00:00,1,Undrafted,,,,,,,,
497,McKinley Wright IV,Mavericks,Guard,5-11,192,USA,1998-10-25T00:00:00,1,Undrafted,,,,,,,,
498,Gabe York,Pacers,Guard,6-3,190,USA,1993-08-02T00:00:00,2,Undrafted,,,,,,,,
499,Thaddeus Young,Raptors,Forward,6-8,235,USA,1988-06-21T00:00:00,15,12,,,,,,,,14190000.0
500,Trae Young,Hawks,Guard,6-1,164,USA,1998-09-19T00:00:00,4,5,63.0,2125.0,1594.0,245.0,594.0,53.0,12.0,8326471.0
501,Omer Yurtseven,Heat,Center,6-11,275,Turkey,1998-06-19T00:00:00,1,Undrafted,,,,,,,,1489065.0
502,Ivica Zubac,Clippers,Center,7-0,240,Croatia,1997-03-18T00:00:00,6,32,72.0,1609.0,650.0,519.0,90.0,24.0,62.0,7518518.0
